Pregunta,Correcta,Incorrecta1,Incorrecta2,Incorrecta3,Incorrecta4,Incorrecta5
¿Qué mésculos forman parte del plano anatómico del radio y ulna?,"Pronadores, flexores y extensores del carpo y dedos","Cuádriceps, pectíneo y sartorio","Masetero, digástrico y milohioideo",Oblicuo externo y transverso abdominal,,
¿Cuál es el límite distal de la región del radio y la ulna?,"Epífisis distal del radio y ulna, procesos estiloides lat. y med.",Cabeza del hémero,Falanges proximales,Cabeza del fémur,,
¿Qué arteria irriga directamente la región del radio?,Arteria mediana,Arteria iliaca externa,Arteria femoral profunda,Arteria lingual,,
¿Qué arteria da origen a la arteria radial craneal?,Arteria mediana,Arteria axilar,Arteria pulmonar,Arteria mesentérica,,
¿Qué nervio principal inerva la región del radio y ulna?,Nervio radial,Nervio facial,Nervio hipogloso,Nervio vago,,
¿Qué función tiene la rama superficial del nervio radial?,Inervación sensitiva,Movilización ocular,Control pupilar,Contracción del diafragma,,
¿Qué aplicación clínica se menciona en venas del antebrazo?,Toma de muestra en vena cefálica,Aspirado pleural,Biopsia hepática,Cateterización uretral,,
¿Qué procedimiento terapéutico se menciona junto con vendajes?,Inmovilización,Compresión abdominal,Aspiración traqueal,Drenaje diafragmático,,
¿Qué arteria acompaí±a a la vena radial en el antebrazo?,Arteria radial,Arteria pulmonar,Arteria gástrica,Arteria esplénica,,
¿Qué arteria forma parte del sistema en perros y equinos?,Arteria mediana,Arteria costal dorsal,Arteria renal,Arteria temporal,,
¿Qué función tiene la rama profunda del nervio radial?,Inerva mésculos extensores,Control de la micción,Producción de esmegma,Regulación de glucosa,,
¿Qué aplicación clínica permite inmovilizar antebrazo tras cirugía ortopédica?,Vendaje,Anestesia local mandibular,Oxigenación nasal,Amputación torácica,,
¿Qué arteria se bifurca en arteria radial craneal y caudal?,Arteria mediana,Arteria renal,Arteria braquiocefálica,Arteria carótida externa,,
¿Qué arteria NO corresponde a la región del radio y ulna?,Arteria tibial craneal,Arteria mediana,Arteria radial craneal,Arteria radial caudal,,
¿Qué se indica como sitio de vacunación subcutánea en gatos?,Región del radio y ulna,Región coxal,Región del sacro,Región pectoral,,
¿Qué función cumple el nervio radial en la región distal del miembro torácico?,Extensión de carpo y dedos,Flexión de fémur,Rotación interna del muslo,Supinación de mandíbula,,
